rowID,stamp,datetime,Humidity
1,1497825202, 2017/6/18 22:33:22,61.5
2,1497825203, 2017/6/18 22:33:23,61.5
3,1497825204, 2017/6/18 22:33:24,61.5
4,1497825205, 2017/6/18 22:33:25,61.5
5,1497825206, 2017/6/18 22:33:26,61.4
6,1497825207, 2017/6/18 22:33:27,61.4
7,1497825208, 2017/6/18 22:33:28,61.4
8,1497825209, 2017/6/18 22:33:29,61.4
9,1497825210, 2017/6/18 22:33:30,61.4
10,1497825211, 2017/6/18 22:33:31,61.4
11,1497825212, 2017/6/18 22:33:32,61.4
12,1497825213, 2017/6/18 22:33:33,61.4
13,1497825214, 2017/6/18 22:33:34,61.4
14,1497825215, 2017/6/18 22:33:35,61.4
15,1497825216, 2017/6/18 22:33:36,61.4
16,1497825217, 2017/6/18 22:33:37,61.4
17,1497825218, 2017/6/18 22:33:38,61.5
18,1497825219, 2017/6/18 22:33:39,61.5
19,1497825220, 2017/6/18 22:33:40,61.5
20,1497825221, 2017/6/18 22:33:41,61.5
21,1497825222, 2017/6/18 22:33:42,61.6
22,1497825223, 2017/6/18 22:33:43,61.6
23,1497825224, 2017/6/18 22:33:44,61.6
24,1497825225, 2017/6/18 22:33:45,61.6
25,1497825226, 2017/6/18 22:33:46,61.6
26,1497825227, 2017/6/18 22:33:47,61.6
27,1497825228, 2017/6/18 22:33:48,61.8
28,1497825229, 2017/6/18 22:33:49,61.8
29,1497825230, 2017/6/18 22:33:50,61.7
30,1497825231, 2017/6/18 22:33:51,61.7
31,1497825232, 2017/6/18 22:33:52,62.6
32,1497825233, 2017/6/18 22:33:53,62.6
33,1497825234, 2017/6/18 22:33:54,63.5
34,1497825235, 2017/6/18 22:33:55,63.5
35,1497825236, 2017/6/18 22:33:56,63.5
36,1497825237, 2017/6/18 22:33:57,62.9
37,1497825238, 2017/6/18 22:33:58,62.9
38,1497825239, 2017/6/18 22:33:59,62.4
39,1497825240, 2017/6/18 22:34:0,62.4
40,1497825241, 2017/6/18 22:34:1,62.3
41,1497825242, 2017/6/18 22:34:2,62.3
42,1497825243, 2017/6/18 22:34:3,62.3
43,1497825244, 2017/6/18 22:34:4,62.1
44,1497825245, 2017/6/18 22:34:5,62.1
45,1497825246, 2017/6/18 22:34:6,62
46,1497825247, 2017/6/18 22:34:7,62
47,1497825248, 2017/6/18 22:34:8,62
48,1497825249, 2017/6/18 22:34:9,61.9
49,1497825250, 2017/6/18 22:34:10,61.9
50,1497825251, 2017/6/18 22:34:11,61.9
51,1497825252, 2017/6/18 22:34:12,61.9
52,1497825253, 2017/6/18 22:34:13,61.9
53,1497825254, 2017/6/18 22:34:14,61.9
54,1497825255, 2017/6/18 22:34:15,61.9
55,1497825256, 2017/6/18 22:34:16,61.9
56,1497825257, 2017/6/18 22:34:17,62
57,1497825258, 2017/6/18 22:34:18,62
58,1497825259, 2017/6/18 22:34:19,62
59,1497825260, 2017/6/18 22:34:20,61.9
60,1497825261, 2017/6/18 22:34:21,61.9
61,1497825262, 2017/6/18 22:34:22,61.9
62,1497825263, 2017/6/18 22:34:23,61.9
63,1497825264, 2017/6/18 22:34:24,61.9
64,1497825265, 2017/6/18 22:34:25,62
65,1497825266, 2017/6/18 22:34:26,62
66,1497825267, 2017/6/18 22:34:27,62
67,1497825268, 2017/6/18 22:34:28,62
68,1497825269, 2017/6/18 22:34:29,62.1
69,1497825270, 2017/6/18 22:34:30,62.1
70,1497825271, 2017/6/18 22:34:31,62.1
71,1497825272, 2017/6/18 22:34:32,62.1
